Hexane/PresScan//ULoad_P_1_Hex_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
2.634495e-01, 9.665588e-01, 1.751784e-04, 4.191176e-02,
7.217094e-01, 2.613564e+00, 4.400223e-03, 2.656080e-02,
2.690148e+00, 2.970050e+00, 1.191150e-02, 2.023881e-02,
Hexane/PresScan//UdG_P_1_Hex_micropore.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -2.047251e+01, 0.000000e+00, 3.724658e-01,
3.125000e-02, -2.027782e+01, 0.000000e+00, 2.228971e-01,
6.250000e-02, -1.988662e+01, 0.000000e+00, 9.888551e-02,
1.250000e-01, -1.928749e+01, 0.000000e+00, 1.096545e-01,
2.500000e-01, -1.830455e+01, 0.000000e+00, 6.539684e-02,
5.000000e-01, -1.681217e+01, 0.000000e+00, 4.050215e-02,
1.000000e+00, -1.512857e+01, 0.000000e+00, 4.849329e-01,
2.000000e+00, -1.274247e+01, 0.000000e+00, 3.900449e-02,
4.000000e+00, -1.045839e+01, 0.000000e+00, 5.105416e-02,
8.000000e+00, -7.945026e+00, 0.000000e+00, 3.139137e-02,
1.600000e+01, -5.142840e+00, 0.000000e+00, 3.222180e-02,
3.200000e+01, -1.196430e+00, 0.000000e+00, 4.955764e-02,
6.400000e+01, 4.366396e+00, 0.000000e+00, 2.331067e-02,
Hexane/PresScan//UdG_P_1_Hex_surface.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -1.088695e+01, 0.000000e+00, 1.164994e+00,
3.125000e-02, -9.414607e+00, 0.000000e+00, 1.231162e+00,
6.250000e-02, -1.050781e+01, 0.000000e+00, 6.244352e-01,
1.250000e-01, -1.058909e+01, 0.000000e+00, 7.675030e-01,
2.500000e-01, -1.055237e+01, 0.000000e+00, 6.071609e-01,
5.000000e-01, -1.040224e+01, 0.000000e+00, 2.515347e-01,
1.000000e+00, -1.046022e+01, 0.000000e+00, 6.397173e-01,
2.000000e+00, -9.967285e+00, 0.000000e+00, 1.123238e-01,
4.000000e+00, -9.708800e+00, 0.000000e+00, 1.344028e-01,
8.000000e+00, -9.507641e+00, 0.000000e+00, 5.317050e-02,
1.600000e+01, -8.817368e+00, 0.000000e+00, 3.308992e-02,
3.200000e+01, -5.989792e+00, 0.000000e+00, 2.740663e-02,
6.400000e+01, -5.498570e-01, 0.000000e+00, 2.496599e-02,
Hexane/PresScan//UdG_P_1_Hex_mesopore.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, inf, 0.000000e+00, nan,
3.125000e-02, -8.021732e-01, 0.000000e+00, 1.458989e+00,
6.250000e-02, -5.737195e-01, 0.000000e+00, 2.023711e+00,
1.250000e-01, -1.602165e+00, 0.000000e+00, 1.278831e+00,
2.500000e-01, -1.041229e+00, 0.000000e+00, 6.973986e-01,
5.000000e-01, -2.015675e+00, 0.000000e+00, 3.599427e-01,
1.000000e+00, -1.885982e+00, 0.000000e+00, 4.740170e-01,
2.000000e+00, -2.186267e+00, 0.000000e+00, 3.887261e-01,
4.000000e+00, -2.567168e+00, 0.000000e+00, 1.597575e-01,
8.000000e+00, -3.666768e+00, 0.000000e+00, 2.104854e-01,
1.600000e+01, -5.648245e+00, 0.000000e+00, 1.840680e-01,
3.200000e+01, -5.595355e+00, 0.000000e+00, 4.272906e-02,
6.400000e+01, -4.303387e-01, 0.000000e+00, 3.805121e-02,
