C6CA micropore
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
6.250000e-02, -2.752496e+01, 0.000000e+00, 6.238069e-02,
1.250000e-01, -2.537022e+01, 0.000000e+00, 5.850513e-02,
2.500000e-01, -2.309840e+01, 0.000000e+00, 2.109100e-02,
5.000000e-01, -2.049239e+01, 0.000000e+00, 1.385280e-01,
1.000000e+00, -1.791085e+01, 0.000000e+00, 4.793746e-02,
2.000000e+00, -1.504852e+01, 0.000000e+00, 7.952200e-02,
4.000000e+00, -1.215089e+01, 0.000000e+00, 4.902019e-02,
8.000000e+00, 5.591456e+00, 0.000000e+00, 8.002739e-02,
1.600000e+01, 5.634588e+00, 0.000000e+00, 7.238255e-02,
3.200000e+01, 5.544695e+00, 0.000000e+00, 5.409650e-02,
6.400000e+01, 5.645116e+00, 0.000000e+00, 5.597244e-02,
C6CA surface
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -2.748210e+01, 0.000000e+00, 1.875112e-01,
3.125000e-02, -2.731275e+01, 0.000000e+00, 2.579882e-01,
6.250000e-02, -2.695197e+01, 0.000000e+00, 1.050125e-01,
1.250000e-01, -2.669528e+01, 0.000000e+00, 1.007672e-01,
2.500000e-01, -2.593440e+01, 0.000000e+00, 7.369709e-02,
5.000000e-01, -2.462611e+01, 0.000000e+00, 2.495162e-02,
1.000000e+00, -2.298698e+01, 0.000000e+00, 7.391831e-02,
2.000000e+00, -2.082271e+01, 0.000000e+00, 1.260268e-02,
4.000000e+00, -1.808270e+01, 0.000000e+00, 1.829045e-02,
8.000000e+00, -3.480140e-01, 0.000000e+00, 3.304193e-02,
1.600000e+01, -3.693324e-01, 0.000000e+00, 1.062832e-02,
3.200000e+01, -2.942976e-01, 0.000000e+00, 2.314552e-02,
6.400000e+01, -2.841681e-01, 0.000000e+00, 2.904023e-02,
C6CA mesopore
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, inf, 0.000000e+00, nan,
3.125000e-02, inf, 0.000000e+00, nan,
6.250000e-02, -2.996113e+00, 0.000000e+00, 1.717046e+00,
1.250000e-01, -3.841158e+00, 0.000000e+00, 1.725282e+00,
2.500000e-01, -6.404303e+00, 0.000000e+00, 7.355284e-01,
5.000000e-01, -8.296260e+00, 0.000000e+00, 3.134344e-01,
1.000000e+00, -1.113898e+01, 0.000000e+00, 2.230489e-01,
2.000000e+00, -1.352565e+01, 0.000000e+00, 1.346776e-01,
4.000000e+00, -1.726337e+01, 0.000000e+00, 2.585530e-02,
8.000000e+00, 2.870881e-01, 0.000000e+00, 2.728871e-02,
1.600000e+01, 2.960864e-01, 0.000000e+00, 2.009669e-02,
3.200000e+01, 2.903650e-01, 0.000000e+00, 1.039460e-02,
6.400000e+01, 2.886183e-01, 0.000000e+00, 2.230288e-02,
