Decane//ULoad_P_1_Decane_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
2.294937e+00, 2.333173e+00, 2.097450e-03, 1.620085e-02,
2.353634e+00, 2.386882e+00, 2.033938e-03, 2.061893e-02,
Decane//UdG_P_1_Decane_micropore.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -3.078526e+01, 0.000000e+00, 9.771518e-02,
3.125000e-02, -2.877336e+01, 0.000000e+00, 7.815300e-02,
6.250000e-02, -2.649432e+01, 0.000000e+00, 8.650032e-02,
1.250000e-01, -2.403641e+01, 0.000000e+00, 2.397904e-02,
2.500000e-01, -2.152975e+01, 0.000000e+00, 4.705161e-02,
5.000000e-01, -1.890511e+01, 0.000000e+00, 3.561923e-02,
1.000000e+00, -1.631050e+01, 0.000000e+00, 3.115785e-02,
2.000000e+00, -1.354750e+01, 0.000000e+00, 2.434195e-02,
4.000000e+00, -1.051264e+01, 0.000000e+00, 1.570616e-02,
8.000000e+00, 4.976685e+00, 0.000000e+00, 2.076366e-02,
1.600000e+01, 5.000988e+00, 0.000000e+00, 1.828338e-02,
3.200000e+01, 5.008002e+00, 0.000000e+00, 2.995502e-02,
6.400000e+01, 5.062997e+00, 0.000000e+00, 2.985418e-02,
Decane//UdG_P_1_Decane_surface.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -1.645030e+01, 0.000000e+00, 5.163233e-01,
3.125000e-02, -1.676194e+01, 0.000000e+00, 1.210155e+00,
6.250000e-02, -1.705107e+01, 0.000000e+00, 5.884475e-01,
1.250000e-01, -1.706301e+01, 0.000000e+00, 5.352591e-01,
2.500000e-01, -1.635761e+01, 0.000000e+00, 4.184371e-01,
5.000000e-01, -1.604214e+01, 0.000000e+00, 3.330316e-01,
1.000000e+00, -1.592946e+01, 0.000000e+00, 1.092605e-01,
2.000000e+00, -1.626372e+01, 0.000000e+00, 7.608953e-02,
4.000000e+00, -1.498046e+01, 0.000000e+00, 3.685961e-02,
8.000000e+00, 3.670657e-01, 0.000000e+00, 3.599476e-02,
1.600000e+01, 3.765751e-01, 0.000000e+00, 1.899638e-02,
3.200000e+01, 4.187841e-01, 0.000000e+00, 1.064418e-02,
6.400000e+01, 4.822981e-01, 0.000000e+00, 2.340535e-02,
Decane//UdG_P_1_Decane_mesopore.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, inf, 0.000000e+00, nan,
3.125000e-02, -4.691157e+00, 0.000000e+00, 1.306325e+00,
6.250000e-02, inf, 0.000000e+00, nan,
1.250000e-01, -2.347719e+00, 0.000000e+00, 2.684910e+00,
2.500000e-01, -4.165424e+00, 0.000000e+00, 2.557163e-01,
5.000000e-01, -5.914907e+00, 0.000000e+00, 8.583460e-01,
1.000000e+00, -7.102284e+00, 0.000000e+00, 4.399842e-01,
2.000000e+00, -1.134810e+01, 0.000000e+00, 1.613149e-01,
4.000000e+00, -1.536664e+01, 0.000000e+00, 2.980083e-02,
8.000000e+00, -1.066323e-01, 0.000000e+00, 2.648909e-02,
1.600000e+01, -9.531739e-02, 0.000000e+00, 1.150214e-02,
3.200000e+01, -7.174555e-02, 0.000000e+00, 3.145563e-02,
6.400000e+01, -6.083228e-02, 0.000000e+00, 3.561255e-02,
