36DEO//ULoad_P_1_36DEO_micropore.dat
Pressure (bar), Loading (molec/nm^3), dP (bar), dLoading (molec/nm^3),
6.250000e-02, -4.004973e-01, 0.000000e+00, 2.070154e+00,
1.250000e-01, -1.629547e+00, 0.000000e+00, 1.137584e+00,
2.500000e-01, -5.376652e-01, 0.000000e+00, 4.198336e-01,
5.000000e-01, -1.434135e+00, 0.000000e+00, 8.656693e-01,
1.000000e+00, -3.429552e-01, 0.000000e+00, 2.990118e-01,
2.000000e+00, -5.629942e-02, 0.000000e+00, 1.918785e-01,
4.000000e+00, 1.806583e+01, 0.000000e+00, 9.657732e-02,
8.000000e+00, 1.775930e+01, 0.000000e+00, 2.965988e-01,
1.600000e+01, 1.832189e+01, 0.000000e+00, 3.656422e-01,
3.200000e+01, 1.737290e+01, 0.000000e+00, 4.368553e-01,
6.400000e+01, 1.798362e+01, 0.000000e+00, 4.328129e-01,
36DEO//UdG_P_1_36DEO_surface.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, -1.714439e+01, 0.000000e+00, 1.246100e+00,
3.125000e-02, -1.823978e+01, 0.000000e+00, 1.163753e+00,
6.250000e-02, -1.764933e+01, 0.000000e+00, 3.850020e-01,
1.250000e-01, -1.783773e+01, 0.000000e+00, 2.097255e-01,
2.500000e-01, -1.784020e+01, 0.000000e+00, 2.343875e-01,
5.000000e-01, -1.801703e+01, 0.000000e+00, 2.072581e-01,
1.000000e+00, -1.852216e+01, 0.000000e+00, 1.311896e-01,
2.000000e+00, -1.851242e+01, 0.000000e+00, 2.375680e-02,
4.000000e+00, -3.891009e-01, 0.000000e+00, 3.590099e-02,
8.000000e+00, -3.574149e-01, 0.000000e+00, 3.181335e-02,
1.600000e+01, -3.644231e-01, 0.000000e+00, 2.317110e-02,
3.200000e+01, -3.502203e-01, 0.000000e+00, 4.336503e-02,
6.400000e+01, -3.385111e-01, 0.000000e+00, 1.473197e-02,
36DEO//UdG_P_1_36DEO_mesopore.dat
dG (kJ/mol), Loading (molec/nm^3), ddG (kJ/mol), dLoading (molec/nm^3),
1.562500e-02, inf, 0.000000e+00, nan,
3.125000e-02, inf, 0.000000e+00, nan,
6.250000e-02, inf, 0.000000e+00, nan,
1.250000e-01, -5.045584e+00, 0.000000e+00, 1.547770e+00,
2.500000e-01, -6.276229e+00, 0.000000e+00, 1.343795e+00,
5.000000e-01, -5.735643e+00, 0.000000e+00, 4.088451e-01,
1.000000e+00, -1.063899e+01, 0.000000e+00, 1.139229e-01,
2.000000e+00, -1.807973e+01, 0.000000e+00, 2.562654e-02,
4.000000e+00, 6.825536e-02, 0.000000e+00, 8.953785e-03,
8.000000e+00, 7.598456e-02, 0.000000e+00, 3.385468e-02,
1.600000e+01, 7.202500e-02, 0.000000e+00, 3.615327e-02,
3.200000e+01, 7.742260e-02, 0.000000e+00, 2.877988e-02,
6.400000e+01, 2.423988e-02, 0.000000e+00, 1.654473e-02,
